-7.335618846132167 + 0.0im	7.010869017950932e-6 + 0.0im
-7.319910882864218 + 0.0im	7.037248918898468e-6 + 0.0im
-7.304202919596269 + 0.0im	7.063778849437464e-6 + 0.0im
-7.28849495632832 + 0.0im	7.090459955937044e-6 + 0.0im
-7.272786993060371 + 0.0im	7.1172933957987625e-6 + 0.0im
-7.257079029792422 + 0.0im	7.1442803375848556e-6 + 0.0im
-7.241371066524473 + 0.0im	7.171421961148461e-6 + 0.0im
-7.225663103256524 + 0.0im	7.198719457765451e-6 + 0.0im
-7.209955139988575 + 0.0im	7.226174030268208e-6 + 0.0im
-7.194247176720626 + 0.0im	7.253786893181139e-6 + 0.0im
-7.1785392134526775 + 0.0im	7.2815592728581235e-6 + 0.0im
-7.162831250184729 + 0.0im	7.30949240762184e-6 + 0.0im
-7.147123286916779 + 0.0im	7.337587547904997e-6 + 0.0im
-7.13141532364883 + 0.0im	7.365845956393546e-6 + 0.0im
-7.115707360380881 + 0.0im	7.3942689081719426e-6 + 0.0im
-7.099999397112932 + 0.0im	7.422857690870266e-6 + 0.0im
-7.084291433844983 + 0.0im	7.451613604813622e-6 + 0.0im
-7.0685834705770345 + 0.0im	7.48053796317341e-6 + 0.0im
-7.052875507309086 + 0.0im	7.509632092120857e-6 + 0.0im
-7.037167544041137 + 0.0im	7.538897330982694e-6 + 0.0im
-7.021459580773188 + 0.0im	7.568335032398934e-6 + 0.0im
-7.005751617505239 + 0.0im	7.597946562483006e-6 + 0.0im
-6.99004365423729 + 0.0im	7.627733300984016e-6 + 0.0im
-6.97433569096934 + 0.0im	7.657696641451424e-6 + 0.0im
-6.9586277277013915 + 0.0im	7.687837991401948e-6 + 0.0im
-6.942919764433443 + 0.0im	7.718158772489029e-6 + 0.0im
-6.927211801165494 + 0.0im	7.748660420674444e-6 + 0.0im
-6.911503837897545 + 0.0im	7.77934438640261e-6 + 0.0im
-6.895795874629596 + 0.0im	7.81021213477717e-6 + 0.0im
-6.880087911361647 + 0.0im	7.841265145740431e-6 + 0.0im
