-6.408849013323178 + 0.0im	-0.0005023449363203091 + 0.0im
-6.393141050055229 + 0.0im	-0.000506457191352407 + 0.0im
-6.37743308678728 + 0.0im	-0.0005106157716910606 + 0.0im
-6.3617251235193315 + 0.0im	-0.0005148213514701495 + 0.0im
-6.346017160251382 + 0.0im	-0.0005190746170046354 + 0.0im
-6.330309196983433 + 0.0im	-0.0005233762670566138 + 0.0im
-6.314601233715484 + 0.0im	-0.0005277270131082768 + 0.0im
-6.298893270447535 + 0.0im	-0.0005321275796419701 + 0.0im
-6.283185307179586 + 0.0im	-0.0005365787044275464 + 0.0im
-6.267477343911637 + 0.0im	-0.0005410811388173428 + 0.0im
-6.2517693806436885 + 0.0im	-0.0005456356480488531 + 0.0im
-6.23606141737574 + 0.0im	-0.0005502430115554068 + 0.0im
-6.220353454107791 + 0.0im	-0.0005549040232851826 + 0.0im
-6.204645490839841 + 0.0im	-0.0005596194920286407 + 0.0im
-6.188937527571892 + 0.0im	-0.0005643902417549399 + 0.0im
