-7.822565707438585 + 0.0im	-0.00012549726854929242 + 0.0im
-7.806857744170636 + 0.0im	-0.0001263078868693421 + 0.0im
-7.791149780902687 + 0.0im	-0.0001271256238023032 + 0.0im
-7.7754418176347375 + 0.0im	-0.00012795055904273162 + 0.0im
-7.759733854366789 + 0.0im	-0.00012878277337720142 + 0.0im
-7.74402589109884 + 0.0im	-0.0001296223487021065 + 0.0im
-7.728317927830891 + 0.0im	-0.0001304693680418104 + 0.0im
-7.712609964562942 + 0.0im	-0.00013132391556713272 + 0.0im
-7.696902001294993 + 0.0im	-0.00013218607661419362 + 0.0im
-7.681194038027044 + 0.0im	-0.00013305593770361913 + 0.0im
-7.665486074759095 + 0.0im	-0.00013393358656011619 + 0.0im
-7.6497781114911465 + 0.0im	-0.00013481911213241942 + 0.0im
-7.634070148223198 + 0.0im	-0.00013571260461363232 + 0.0im
-7.618362184955249 + 0.0im	-0.00013661415546195347 + 0.0im
-7.602654221687299 + 0.0im	-0.0001375238574218156 + 0.0im
-7.58694625841935 + 0.0im	-0.0001384418045454236 + 0.0im
-7.571238295151401 + 0.0im	-0.00013936809221472691 + 0.0im
-7.555530331883452 + 0.0im	-0.0001403028171638133 + 0.0im
-7.5398223686155035 + 0.0im	-0.00014124607750174776 + 0.0im
-7.524114405347555 + 0.0im	-0.00014219797273585643 + 0.0im
-7.508406442079606 + 0.0im	-0.00014315860379547705 + 0.0im
-7.492698478811657 + 0.0im	-0.00014412807305617958 + 0.0im
-7.476990515543708 + 0.0im	-0.00014510648436445633 + 0.0im
-7.461282552275758 + 0.0im	-0.00014609394306292788 + 0.0im
-7.445574589007809 + 0.0im	-0.00014709055601602617 + 0.0im
-7.4298666257398605 + 0.0im	-0.00014809643163621572 + 0.0im
-7.414158662471912 + 0.0im	-0.00014911167991072568 + 0.0im
-7.398450699203963 + 0.0im	-0.000150136412428832 + 0.0im
-7.382742735936014 + 0.0im	-0.00015117074240968674 + 0.0im
-7.367034772668065 + 0.0im	-0.00015221478473070922 + 0.0im
-7.351326809400116 + 0.0im	-0.00015326865595656546 + 0.0im
-7.335618846132167 + 0.0im	-0.00015433247436872835 + 0.0im
-7.319910882864218 + 0.0im	-0.0001554063599956467 + 0.0im
-7.304202919596269 + 0.0im	-0.00015649043464353662 + 0.0im
-7.28849495632832 + 0.0im	-0.0001575848219278055 + 0.0im
-7.272786993060371 + 0.0im	-0.00015868964730512261 + 0.0im
-7.257079029792422 + 0.0im	-0.00015980503810615965 + 0.0im
-7.241371066524473 + 0.0im	-0.000160931123569008 + 0.0im
-7.225663103256524 + 0.0im	-0.00016206803487329205 + 0.0im
-7.209955139988575 + 0.0im	-0.00016321590517500304 + 0.0im
-7.194247176720626 + 0.0im	-0.00016437486964205244 + 0.0im
-7.1785392134526775 + 0.0im	-0.00016554506549058782 + 0.0im
-7.162831250184729 + 0.0im	-0.00016672663202205916 + 0.0im
-7.147123286916779 + 0.0im	-0.0001679197106610875 + 0.0im
-7.13141532364883 + 0.0im	-0.00016912444499412148 + 0.0im
-7.115707360380881 + 0.0im	-0.00017034098080893377 + 0.0im
-7.099999397112932 + 0.0im	-0.000171569466134947 + 0.0im
-7.084291433844983 + 0.0im	-0.0001728100512844389 + 0.0im
-7.0685834705770345 + 0.0im	-0.00017406288889461872 + 0.0im
-7.052875507309086 + 0.0im	-0.00017532813397063085 + 0.0im
-7.037167544041137 + 0.0im	-0.00017660594392946756 + 0.0im
-7.021459580773188 + 0.0im	-0.00017789647864485832 + 0.0im
-7.005751617505239 + 0.0im	-0.00017919990049312134 + 0.0im
-6.99004365423729 + 0.0im	-0.00018051637440002135 + 0.0im
-6.97433569096934 + 0.0im	-0.00018184606788866633 + 0.0im
-6.9586277277013915 + 0.0im	-0.00018318915112843737 + 0.0im
-6.942919764433443 + 0.0im	-0.00018454579698502538 + 0.0im
-6.927211801165494 + 0.0im	-0.00018591618107155329 + 0.0im
-6.911503837897545 + 0.0im	-0.00018730048180084718 + 0.0im
-6.895795874629596 + 0.0im	-0.00018869888043887244 + 0.0im
-6.880087911361647 + 0.0im	-0.00019011156115936623 + 0.0im
-6.864379948093698 + 0.0im	-0.00019153871109968775 + 0.0im
-6.848671984825749 + 0.0im	-0.00019298052041794478 + 0.0im
-6.8329640215578 + 0.0im	-0.00019443718235139301 + 0.0im
-6.817256058289851 + 0.0im	-0.00019590889327617643 + 0.0im
-6.801548095021902 + 0.0im	-0.00019739585276841565 + 0.0im
-6.785840131753953 + 0.0im	-0.00019889826366669867 + 0.0im
-6.770132168486004 + 0.0im	-0.00020041633213600552 + 0.0im
-6.754424205218055 + 0.0im	-0.0002019502677330985 + 0.0im
-6.738716241950106 + 0.0im	-0.00020350028347342219 + 0.0im
-6.7230082786821574 + 0.0im	-0.00020506659589955982 + 0.0im
-6.707300315414209 + 0.0im	-0.00020664942515127673 + 0.0im
-6.69159235214626 + 0.0im	-0.00020824899503719466 + 0.0im
-6.675884388878311 + 0.0im	-0.00020986553310815408 + 0.0im
-6.660176425610361 + 0.0im	-0.00021149927073228813 + 0.0im
-6.644468462342412 + 0.0im	-0.0002131504431718848 + 0.0im
-6.628760499074463 + 0.0im	-0.00021481928966204366 + 0.0im
-6.613052535806514 + 0.0im	-0.00021650605349122777 + 0.0im
-6.5973445725385655 + 0.0im	-0.0002182109820837166 + 0.0im
-6.581636609270617 + 0.0im	-0.00021993432708404176 + 0.0im
-6.565928646002668 + 0.0im	-0.00022167634444345146 + 0.0im
-6.550220682734719 + 0.0im	-0.00022343729450845305 + 0.0im
-6.53451271946677 + 0.0im	-0.00022521744211150327 + 0.0im
-6.51880475619882 + 0.0im	-0.00022701705666390063 + 0.0im
-6.503096792930871 + 0.0im	-0.00022883641225094223 + 0.0im
-6.4873888296629225 + 0.0im	-0.00023067578772941353 + 0.0im
-6.471680866394974 + 0.0im	-0.0002325354668274623 + 0.0im
-6.455972903127025 + 0.0im	-0.00023441573824695204 + 0.0im
-6.440264939859076 + 0.0im	-0.00023631689576833175 + 0.0im
-6.424556976591127 + 0.0im	-0.0002382392383581259 + 0.0im
-6.408849013323178 + 0.0im	-0.00024018307027910433 + 0.0im
-6.393141050055229 + 0.0im	-0.0002421487012031993 + 0.0im
-6.37743308678728 + 0.0im	-0.00024413644632728093 + 0.0im
-6.3617251235193315 + 0.0im	-0.00024614662649184325 + 0.0im
-6.346017160251382 + 0.0im	-0.00024817956830269755 + 0.0im
-6.330309196983433 + 0.0im	-0.00025023560425576984 + 0.0im
-6.314601233715484 + 0.0im	-0.0002523150728650892 + 0.0im
-6.298893270447535 + 0.0im	-0.00025441831879404164 + 0.0im
-6.283185307179586 + 0.0im	-0.0002565456929900331 + 0.0im
-6.267477343911637 + 0.0im	-0.0002586975528226037 + 0.0im
